OBJECTID,GUID,NUTS1,NUTS1NAME,NUTS2,NUTS2NAME,NUTS3,NUTS3NAME,COUNTY,COUNTYNAME,CSOED,OSIED,EDNAME,SA_PUB2011,SMALL_AREA,GEOGID,AREA,CHANGECODE,ESRI_OID,Shape__Area,Shape__Length
8787,4c07d11e-15ec-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE063,Midlands,WH,Westmeath,13089,237079,Mullingar Rural,237079027,237079027,A237079027,0,0,8787,111037.512878418,1478.98662866526
8788,4c07d11e-1583-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE063,Midlands,WH,Westmeath,13041,237035,Delvin,237035003,237035003,A237035003,0,0,8788,532826.049346924,3304.23646574769
8789,4c07d11e-1584-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE063,Midlands,WH,Westmeath,13050,237069,Kinturk,237069004,237069004,A237069004,0,0,8789,76842.2746276855,1431.19063864085
8790,4c07d11e-1585-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE063,Midlands,WH,Westmeath,13050,237069,Kinturk,237069002,237069002,A237069002,0,0,8790,192170.62612915,1791.94971916706
8791,4c07d11e-15fa-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,MH,Meath,11055,167065,Navan Rural,167065015,167065015,A167065015,0,0,8791,166836.45135498,1806.52871766265
8792,4c07d11e-1624-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DR,Dún Laoghaire-Rathdown,05054,267088,Foxrock-Carrickmines,267088003,267088003,A267088003,0,0,8792,85577.7565002441,1512.04965884335
8793,4c07d11e-1632-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DR,Dún Laoghaire-Rathdown,05054,267088,Foxrock-Carrickmines,267088017,267088017,A267088017,0,0,8793,320746.737701416,2701.16127561187
8794,4c07d11e-163c-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DR,Dún Laoghaire-Rathdown,05054,267088,Foxrock-Carrickmines,267088010,267088010,A267088010,0,0,8794,211895.062225342,2744.83737302843
8795,4c07d11e-163d-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DR,Dún Laoghaire-Rathdown,05053,267087,Foxrock-Beechpark,267087001,267087001,A267087001,0,0,8795,125584.955230713,1581.87757440668
8796,4c07d11e-163e-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DR,Dún Laoghaire-Rathdown,05060,267120,Shankill-Rathmichael,267120009,267120009,A267120009,0,0,8796,825849.117553711,3820.3779315464
8797,4c07d11e-16c0-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DR,Dún Laoghaire-Rathdown,05026,267046,Churchtown-Woodlawn,267046001,267046001,A267046001,0,0,8797,116796.839569092,2277.86354862733
8798,4c07d11e-16c1-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DR,Dún Laoghaire-Rathdown,05028,267057,Clonskeagh-Farranboley,267057001,267057001,A267057001,0,0,8798,78190.6478271484,1634.12066464882
8799,4c07d11e-23b7-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE041,Border,CN,Cavan,32001,027025,Cavan Urban,027025014,027025014,A027025014,0,0,8799,133051.40725708,1522.85392107082
8800,4c07d11e-160d-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE063,Midlands,WH,Westmeath,13089,237079,Mullingar Rural,237079033,237079033,A237079033,0,0,8800,490633.564575195,3121.73395279245
8801,4c07d11e-1630-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DR,Dún Laoghaire-Rathdown,05056,267090,Foxrock-Torquay,267090005,267090005,A267090005,0,0,8801,216513.366394043,1902.13703815753
8802,4c07d11e-1631-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DR,Dún Laoghaire-Rathdown,05054,267088,Foxrock-Carrickmines,267088012,267088012,A267088012,0,0,8802,270563.733093262,2225.60103539893
8803,4c07d11e-1657-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DR,Dún Laoghaire-Rathdown,05062,267122,Shankill-Shanganagh,267122004,267122004,A267122004,0,0,8803,424101.030822754,3715.13291540001
8804,4c07d11e-1658-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DR,Dún Laoghaire-Rathdown,05060,267120,Shankill-Rathmichael,267120003,267120003,A267120003,0,0,8804,771177.021820068,5053.60694757128
8805,4c07d11d-fa3d-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,WW,Wicklow,15066,257077,Wicklow Rural,257077025,257077025,A257077025,0,0,8805,270624.068359375,2229.64156498846
8806,4c07d11d-fa3e-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,WW,Wicklow,15057,257050,Killiskey,257050001,257050001,A257050001,0,0,8806,894377.015899658,5273.1549596536
8807,4c07d11d-fa3f-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE062,Mid-East,WW,Wicklow,15066,257077,Wicklow Rural,257077007,257077007,A257077007,0,0,8807,776723.481872559,4606.43882198073
